,Name,Country,Type,lat,lng,Elevation,geometry
282,Opala ,            Russia          ,            Caldera          ,52.540000915527344,157.33999633789062,1776.0,POINT (157.3399963378906 52.54000091552734)
283,Oraefajokull ,            Iceland          ,            Stratovolcano          ,64.0,-16.649999618530273,2119.0,POINT (-16.64999961853027 64)
284,Oshima ,            Japan          ,            Stratovolcano          ,34.720001220703125,139.39999389648438,764.0,POINT (139.3999938964844 34.72000122070312)
285,Pacaya ,            Guatemala          ,            Complex Volcano          ,14.380000114440918,-90.5999984741211,2552.0,POINT (-90.59999847412109 14.38000011444092)
286,Pagan ,            United States          ,            Stratovolcano          ,18.1299991607666,145.8000030517578,570.0,POINT (145.8000030517578 18.1299991607666)
287,Pago ,            Papua New Guinea          ,            Caldera          ,-5.579999923706055,150.52000427246094,742.0,POINT (150.5200042724609 -5.579999923706055)
288,Papandayan ,            Indonesia          ,            Stratovolcano          ,-7.320000171661377,107.7300033569336,2665.0,POINT (107.7300033569336 -7.320000171661377)
289,Paricutin ,            Mexico          ,            Cinder Cone          ,19.5,-102.19999694824219,3170.0,POINT (-102.1999969482422 19.5)
290,Parinacota ,            Chile/Bolivia          ,            Stratovolcano          ,-18.170000076293945,-69.1500015258789,6348.0,POINT (-69.15000152587891 -18.17000007629395)
291,Pauzhetka ,            Russia          ,            Dome          ,51.45000076293945,156.97000122070312,1070.0,POINT (156.9700012207031 51.45000076293945)
292,Pavlof ,            United States          ,            Stratovolcano          ,55.41999816894531,-161.88999938964844,2519.0,POINT (-161.8899993896484 55.41999816894531)
293,Pavlof Sister ,            United States          ,            Stratovolcano          ,55.45000076293945,-161.83999633789062,2142.0,POINT (-161.8399963378906 55.45000076293945)
294,Pelee ,            France          ,            Stratovolcano          ,14.819999694824219,-61.16999816894531,1397.0,POINT (-61.16999816894531 14.81999969482422)
295,Peuet Sague ,            Indonesia          ,            Complex Volcano          ,4.909999847412109,96.33000183105469,2801.0,POINT (96.33000183105469 4.909999847412109)
296,Pico ,            Portugal          ,            Stratovolcano          ,38.470001220703125,-28.399999618530273,2351.0,POINT (-28.39999961853027 38.47000122070312)
297,"Pilas, Las ",            Nicaragua          ,            Stratovolcano          ,11.539999961853027,-85.62000274658203,1700.0,POINT (-85.62000274658203 11.53999996185303)
298,Pinacate ,            Mexico          ,            Cinder Cone          ,31.770000457763672,-113.5,1200.0,POINT (-113.5 31.77000045776367)
299,Pinatubo ,            Phillippines          ,            Stratovolcano          ,15.130000114440918,120.3499984741211,1486.0,POINT (120.3499984741211 15.13000011444092)
300,Pisgah Lava Field ,            United States          ,            Volcanic Field          ,34.75,-116.62999725341797,1495.0,POINT (-116.629997253418 34.75)
301,Piton de la Fournaise ,            France          ,            Shield          ,-21.229999542236328,55.709999084472656,2631.0,POINT (55.70999908447266 -21.22999954223633)
302,Poas ,            Costa Rica          ,            Stratovolcano          ,10.199999809265137,-84.2300033569336,2708.0,POINT (-84.23000335693359 10.19999980926514)
303,Popocatepetl ,            Mexico          ,            Stratovolcano          ,19.020000457763672,-98.62000274658203,5246.0,POINT (-98.62000274658203 19.02000045776367)
304,Prevo Peak ,            Russia          ,            Stratovolcano          ,47.02000045776367,152.1199951171875,1360.0,POINT (152.1199951171875 47.02000045776367)
305,Purace ,            Colombia          ,            Stratovolcano          ,2.319999933242798,-76.4000015258789,4650.0,POINT (-76.40000152587891 2.319999933242798)
306,"Quill, The ",            Netherlands          ,            Stratovolcano          ,17.479999542236328,-62.959999084472656,601.0,POINT (-62.95999908447266 17.47999954223633)
307,Rabaul ,            Papua New Guinea          ,            Shield          ,-4.269999980926514,152.1999969482422,688.0,POINT (152.1999969482422 -4.269999980926514)
308,Ragang ,            Phillippines          ,            Stratovolcano          ,7.699999809265137,124.5,2815.0,POINT (124.5 7.699999809265137)
309,Raikoke ,            Russia          ,            Stratovolcano          ,48.290000915527344,153.25,551.0,POINT (153.25 48.29000091552734)
310,Rainier ,            United States          ,            Stratovolcano          ,46.849998474121094,-121.76000213623047,4392.0,POINT (-121.7600021362305 46.84999847412109)
311,Rajabasa ,            Indonesia          ,            Stratovolcano          ,-5.78000020980835,105.62999725341797,1281.0,POINT (105.629997253418 -5.78000020980835)
312,Raoul ,            New Zealand          ,            Stratovolcano          ,-29.270000457763672,-177.9199981689453,516.0,POINT (-177.9199981689453 -29.27000045776367)
313,Rasshua ,            Russia          ,            Stratovolcano          ,47.77000045776367,153.02000427246094,956.0,POINT (153.0200042724609 47.77000045776367)
314,Raung ,            Indonesia          ,            Stratovolcano          ,-8.130000114440918,114.04000091552734,3332.0,POINT (114.0400009155273 -8.130000114440918)
315,Rausu ,            Japan          ,            Stratovolcano          ,44.06999969482422,145.1300048828125,1660.0,POINT (145.1300048828125 44.06999969482422)
316,Redoubt ,            United States          ,            Stratovolcano          ,60.4900016784668,-152.74000549316406,3108.0,POINT (-152.7400054931641 60.4900016784668)
317,Reventador ,            Ecuador          ,            Stratovolcano          ,-0.07999999821186066,-77.66000366210938,3562.0,POINT (-77.66000366210938 -0.07999999821186066)
318,Rincon de la Vieja ,            Costa Rica          ,            Complex Volcano          ,10.829999923706055,-85.31999969482422,1916.0,POINT (-85.31999969482422 10.82999992370605)
319,Roundtop ,            United States          ,            Stratovolcano          ,54.79999923706055,-163.58999633789062,1871.0,POINT (-163.5899963378906 54.79999923706055)
320,Ruapehu ,            New Zealand          ,            Stratovolcano          ,-39.279998779296875,175.57000732421875,2797.0,POINT (175.5700073242188 -39.27999877929688)
321,Rudakov ,            Russia          ,            Stratovolcano          ,45.880001068115234,149.8300018310547,542.0,POINT (149.8300018310547 45.88000106811523)
322,"Ruiz, Nevado del ",            Colombia          ,            Stratovolcano          ,4.889999866485596,-75.31999969482422,5321.0,POINT (-75.31999969482422 4.889999866485596)
323,Rumble IV ,            New Zealand          ,            Submarine          ,-36.130001068115234,178.0500030517578,500.0,POINT (178.0500030517578 -36.13000106811523)
324,Saba ,            Netherlands          ,            Stratovolcano          ,17.6299991607666,-63.22999954223633,887.0,POINT (-63.22999954223633 17.6299991607666)
