,Country,lat,lng,Depth_km,Mag,Secondary_Effects,PDE_Shaking_Deaths,PDE_Deaths,Utsu_Deaths,EM-DAT_Deaths,Other_Deaths,Year,Month,Day,Max_Deaths,geometry,Stratovolcano,Caldera,Shield,Complex Volcano,Submarine,Volcanic Field,Cinder Cone,Dome,Fissure vents,Somma Volcano,Maar,Pyroclastic Cone,Tuff Ring,Plug,None,vol,closest_vol
986,Colombia,1.281999945640564,-77.30699920654297,5.0,4.400000095367432,,8.0,8.0,8.0,0.0,,1995,03,04,8.0,POINT (-77.30699920654297 1.281999945640564),0.08839364099991645,13.88606795529396,13.918692849384072,12.464849794776276,19.15336034912598,43.29220566711423,14.638865971653429,91.7849034776464,68.83648981918007,99.89459696890285,53.7463017173701,89.04941629800126,54.77332556889498,51.25256405088608,0.08839364099991645,0.08839364099991645,Stratovolcano
987,Ecuador,-2.132999897003174,-79.50900268554688,95.5,5.599999904632568,,,,,0.0,,1995,03,26,0.0,POINT (-79.50900268554688 -2.132999897003174),0.9631479280179299,12.169382007280067,11.73522607546142,14.205880845394196,22.96982303635523,44.56205644951556,16.313425488620876,95.38575014580043,72.24010307808351,103.29325465308237,54.520422617788384,92.47465065202798,56.15809039468307,53.09010575143594,0.9631479280179299,0.9631479280179299,Stratovolcano
988,Greece,40.14400100708008,21.718000411987305,14.0,6.599999904632568,,0.0,0.0,,0.0,,1995,05,13,0.0,POINT (21.7180004119873 40.14400100708008),4.389808919097901,9.156403563857108,5.251157041283158,40.63541484876255,47.66593660273112,41.051711966335986,111.88431592771254,3.0002449290180646,13.60705002761814,7.319284103156304,36.14758979431947,17.84710768406959,133.7252881232238,126.4965057620062,3.0002449290180646,3.0002449290180646,Dome
989,Indonesia,-8.461999893188477,125.03900146484375,11.0,6.900000095367432,"T,L",0.0,11.0,11.0,0.0,,1995,05,14,11.0,POINT (125.0390014648438 -8.461999893188477),1.541007050633873,10.011628326015769,22.00746258303929,2.2013694820757546,32.915725547803724,57.19221813463979,30.253341840126012,42.22841723096012,115.37222566369108,61.88535395932319,88.24754606388217,37.43700096737574,242.67138392036412,235.78715627145652,1.541007050633873,1.541007050633873,Stratovolcano
990,Indonesia,-8.288000106811523,122.94400024414062,26.399999618530273,5.199999809265137,,1.0,1.0,1.0,0.0,,1995,05,21,1.0,POINT (122.9440002441406 -8.288000106811523),0.3006666050824979,10.557373294403364,23.973799599238045,0.12649406190065,35.01364919229876,57.09640275230503,32.33012013989039,42.42535325657726,113.33069979735512,62.68084220208435,86.15727124966699,35.61137959516162,240.58811511587678,233.70693154380834,0.12649406190065,0.12649406190065,Complex Volcano
991,Russian Federation,52.604000091552734,142.822998046875,11.0,7.0,,1989.0,1989.0,1989.0,0.0,,1995,05,27,1989.0,POINT (142.822998046875 52.60400009155273),8.793012511205575,9.138201676466783,16.07731553559082,16.763037082455728,11.26895929766127,17.148629660423893,13.306487589251397,14.193992153398668,129.59991277727738,10.90608245629301,113.57669896105766,18.091219810275366,254.93853539878245,247.6523714670317,8.793012511205575,8.793012511205575,Stratovolcano
992,Greece,38.444000244140625,22.30900001525879,14.0,6.199999809265137,,26.0,26.0,26.0,0.0,,1995,06,15,26.0,POINT (22.30900001525879 38.44400024414062),2.7536698061951492,10.155327485899779,3.705699570618215,38.83708936470795,48.19638970477739,39.2686378246286,112.05147824004825,1.3198255361114986,12.424032490770706,8.22945987420419,34.367264523142545,18.257738758888898,134.37183358389248,127.15809696547886,1.3198255361114986,1.3198255361114986,Dome
993,Taiwan,24.6200008392334,121.67900085449219,60.29999923706055,5.900000095367432,L,0.0,1.0,1.0,0.0,,1995,06,25,1.0,POINT (121.6790008544922 24.6200008392334),4.163180816792568,10.60957138850007,14.001454516152933,11.849419803079781,23.725705690093285,24.505764958319226,42.9911330744701,13.04137285030797,106.15282564697814,37.95834431220565,84.96050587890313,20.22794695474393,234.41678414646046,227.25899531517015,4.163180816792568,4.163180816792568,Stratovolcano
994,Burma,21.947999954223633,99.10299682617188,9.199999809265137,6.800000190734863,,11.0,11.0,11.0,0.0,,1995,07,11,11.0,POINT (99.10299682617188 21.94799995422363),5.132950919869299,19.36992388858273,34.83688156424073,17.262182622213636,45.95241334281912,38.03496629045249,62.71812910776241,34.25563979890207,83.74197105468316,58.806746882396666,62.32239730779151,10.979830981832922,212.18090814670182,205.05797548098266,5.132950919869299,5.132950919869299,Stratovolcano
995,China,36.43600082397461,103.16600036621094,7.400000095367432,5.599999904632568,,14.0,14.0,14.0,0.0,,1995,07,21,14.0,POINT (103.1660003662109 36.43600082397461),16.93208830317346,27.724968864658308,28.499838270760524,27.371956201885308,44.82305927846257,26.03426378880164,54.657730079521265,28.439648559387294,87.99132675108704,50.23332395551416,70.75930421665889,25.87004467418595,215.2486035605546,208.02625723010024,16.93208830317346,16.93208830317346,Stratovolcano
